Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,25.676001,25.816000,25.400000,25.625000,24.375179,10100
2019-09-30,25.740000,25.770000,24.680000,24.934999,23.718832,11300
2019-10-07,25.110001,26.311001,24.920000,26.100000,24.827013,8400
2019-10-14,26.243000,26.896000,26.200001,26.850000,25.540432,6800
2019-10-21,27.080000,27.200001,26.820000,27.129999,25.806772,6200
2019-10-28,27.260000,27.639999,27.100000,27.639999,26.291901,10200
2019-11-04,27.920000,28.025999,27.521000,27.809999,26.453608,27300
2019-11-11,27.600000,27.862000,27.530001,27.862000,26.503071,9000
2019-11-18,27.730000,27.886000,27.580000,27.655001,26.306170,9700
2019-11-25,27.629999,27.823000,27.629999,27.700001,26.348976,7500
2019-12-02,27.520000,27.799000,27.230000,27.690001,26.339462,6400
2019-12-09,27.680000,28.288000,27.260000,28.219999,26.843613,17800
2019-12-16,28.400000,28.500000,27.812000,27.955000,26.591536,12500
2019-12-23,27.924000,28.299999,27.924000,28.139999,26.767515,183400
2019-12-30,28.040001,28.663000,27.700001,27.990000,26.624828,14900
2020-01-06,27.799999,28.517000,27.799999,28.500000,27.112846,9400
2020-01-13,28.240000,28.570000,28.225000,28.320000,26.941605,34700
2020-01-20,28.480000,28.650000,28.035000,28.309999,26.932095,18600
2020-01-27,27.629999,27.940001,27.100000,27.100000,25.780987,32000
2020-02-03,27.230000,28.389999,27.230000,27.950001,26.589617,5400
2020-02-10,27.820000,28.559999,27.820000,28.264999,26.889284,23700
2020-02-17,28.110001,28.299999,27.839001,27.920000,26.561077,6500
2020-02-24,26.799999,26.868999,24.473000,24.950001,23.735634,42200
2020-03-02,25.090000,25.750000,24.570000,24.815001,23.607204,18800
2020-03-09,22.980000,23.570000,19.260000,20.299999,19.311958,116000
2020-03-16,17.959999,19.129999,17.000000,17.635000,16.776669,215800
2020-03-23,18.090000,21.020000,17.650000,20.500000,19.502222,80600
2020-03-30,20.170000,20.770000,19.400000,19.597000,18.643175,216300
2020-04-06,20.600000,22.318001,20.568001,22.212999,21.131847,118900
2020-04-13,22.450001,22.610001,21.114000,22.163000,21.084282,73500
2020-04-20,21.799999,22.270000,21.114000,21.424000,20.381250,64700
2020-04-27,21.850000,23.180000,21.799999,22.100000,21.024347,128100
2020-05-04,21.889999,22.610001,21.587999,22.568001,21.469568,49000
2020-05-11,22.299999,22.530001,20.736000,21.410000,20.367929,41400
2020-05-18,22.510000,23.410000,22.504999,23.048000,21.926205,25100
2020-05-25,24.080000,24.959999,23.760000,24.627001,23.428354,36100
2020-06-01,24.860001,27.770000,24.834999,27.320000,25.990278,142200
2020-06-08,27.549999,27.799999,25.110001,25.570000,24.325457,213600
2020-06-15,25.280001,26.639000,25.052999,25.865000,24.606096,44900
2020-06-22,26.044001,26.980000,25.540001,25.705000,24.453886,32000
2020-06-29,25.600000,26.704000,25.600000,26.485001,25.195923,25200
2020-07-06,27.110001,27.110001,26.400000,26.865000,25.852100,46600
2020-07-13,27.200001,27.988001,26.718000,27.820000,26.771095,361200
2020-07-20,27.920000,28.600000,27.684999,27.995001,26.939497,257900
2020-07-27,28.170000,28.570000,26.950001,27.110001,26.087864,272000
2020-08-03,27.740000,28.230000,27.549999,28.010000,26.953932,37000
2020-08-10,28.010000,29.049999,27.900000,28.459999,27.386963,56200
2020-08-17,28.680000,29.160000,28.000000,28.285000,27.218561,67100
2020-08-24,28.889999,29.400000,28.820999,29.128000,28.029778,34900
2020-08-31,29.219999,29.719999,28.150000,28.844999,27.757448,138000
2020-09-07,28.549999,29.650000,28.350000,29.280001,28.176048,33700
2020-09-14,29.480000,29.570000,28.920000,29.101999,28.004759,70400
2020-09-21,28.230000,28.230000,27.010000,27.450001,26.415045,91300
2020-09-28,28.139999,28.301001,27.459999,27.980000,26.925062,27800
2020-10-05,28.330999,28.959999,28.225000,28.924999,27.834433,19300
2020-10-12,28.990000,29.174999,27.580000,28.530001,27.454327,22700
2020-10-19,28.360001,28.514999,27.590000,28.240000,27.175261,20200
2020-10-26,27.190001,27.313999,25.128000,25.469999,24.509697,147700
2020-11-02,25.590000,27.900000,25.549999,27.809999,26.761473,169100
2020-11-09,29.459999,29.459999,28.643000,29.113001,28.015345,45700
2020-11-16,29.270000,29.299999,28.770000,29.141001,28.042292,29800
2020-11-23,29.299999,29.969999,29.100000,29.927000,28.798655,22000
2020-11-30,30.240000,30.350000,29.687000,30.209999,29.070984,21900
2020-12-07,30.190001,30.459999,29.677999,29.840000,28.714933,43100
2020-12-14,30.260000,31.575001,30.080000,31.275000,30.095829,79600
2020-12-21,30.190001,31.180000,30.121000,30.889999,29.725346,36300
2020-12-28,31.500000,31.889999,30.629999,30.797001,29.635853,44700
2021-01-04,31.600000,32.029999,30.848000,31.879000,31.070921,54000
2021-01-11,31.180000,31.670000,30.733999,30.733999,29.954947,74500
2021-01-18,31.250000,31.450001,30.948000,31.275000,30.482233,36500
